AOS&TCA&LOS&Duration& Max  El & AOS  Az & LOS  Az \\
 2021/02/02  16:28:51 & 2021/02/02  16:33:41 & 2021/02/02  16:38:31 &00:09:39&43.34&216.26&56.09\\
 2021/02/02  18:04:30 & 2021/02/02  18:09:01 & 2021/02/02  18:13:32 &00:09:01&17.9&265.32&39.62\\
 2021/02/03  16:53:00 & 2021/02/03  16:57:51 & 2021/02/03  17:02:43 &00:09:43&44.99&241.95&46.12\\
 2021/02/04  15:41:51 & 2021/02/04  15:46:41 & 2021/02/04  15:51:31 &00:09:40&44.9&216.92&55.8\\
 2021/02/04  17:17:30 & 2021/02/04  17:22:00 & 2021/02/04  17:26:30 &00:08:59&17.54&265.92&39.46\\
 2021/02/05  16:05:30 & 2021/02/05  16:10:21 & 2021/02/05  16:15:12 &00:09:42&44.09&242.33&45.98\\
 2021/02/06  14:53:52 & 2021/02/06  14:58:42 & 2021/02/06  15:03:31 &00:09:39&45.16&217.05&55.75\\
 2021/02/06  16:29:29 & 2021/02/06  16:33:59 & 2021/02/06  16:38:28 &00:08:58&17.44&266.07&39.41\\
 2021/02/06  21:17:45 & 2021/02/06  21:22:25 & 2021/02/06  21:27:04 &00:09:19&25.81&317.71&105.55\\
 2021/02/07  15:17:00 & 2021/02/07  15:21:50 & 2021/02/07  15:26:41 &00:09:41&44.31&242.22&46.01\\
 2021/02/07  21:40:45 & 2021/02/07  21:45:36 & 2021/02/07  21:50:26 &00:09:41&85.87&309.61&129.99\\
 2021/02/08  14:04:52 & 2021/02/08  14:09:41 & 2021/02/08  14:14:30 &00:09:37&44.06&216.62&55.94\\
 2021/02/08  15:40:27 & 2021/02/08  15:44:56 & 2021/02/08  15:49:25 &00:08:58&17.59&265.74&39.46\\
 2021/02/08  20:28:37 & 2021/02/08  20:33:16 & 2021/02/08  20:37:55 &00:09:17&25.33&317.86&105.08\\
 2021/02/09  14:27:27 & 2021/02/09  14:32:18 & 2021/02/09  14:37:08 &00:09:40&45.71&241.59&46.22\\
 2021/02/09  20:51:04 & 2021/02/09  20:55:55 & 2021/02/09  21:00:45 &00:09:40&82.68&309.9&129.24\\
 2021/02/10  13:14:51 & 2021/02/10  13:19:39 & 2021/02/10  13:24:26 &00:09:35&41.68&215.62&56.4\\
 2021/02/10  14:50:20 & 2021/02/10  14:54:50 & 2021/02/10  14:59:20 &00:08:59&18.02&264.92&39.61\\
 2021/02/10  19:38:26 & 2021/02/10  19:43:04 & 2021/02/10  19:47:41 &00:09:15&24.38&318.15&104.1\\
 2021/02/10  21:13:30 & 2021/02/10  21:18:04 & 2021/02/10  21:22:38 &00:09:07&24.28&298.39&155.33\\
 2021/02/11  13:36:51 & 2021/02/11  13:41:41 & 2021/02/11  13:46:32 &00:09:40&48.51&240.43&46.6\\
 2021/02/11  20:00:21 & 2021/02/11  20:05:10 & 2021/02/11  20:10:00 &00:09:39&77.11&310.39&127.94\\
 2021/02/12  13:59:09 & 2021/02/12  14:03:40 & 2021/02/12  14:08:10 &00:09:01&18.77&263.59&39.89\\
 2021/02/12  18:47:11 & 2021/02/12  18:51:47 & 2021/02/12  18:56:23 &00:09:11&23.05&318.57&102.6\\
 2021/02/12  20:22:11 & 2021/02/12  20:26:47 & 2021/02/12  20:31:23 &00:09:11&26.2&299.24&153.6\\
 2021/02/13  12:45:10 & 2021/02/13  12:50:01 & 2021/02/13  12:54:51 &00:09:40&53.12&238.72&47.18\\
 2021/02/13  19:08:32 & 2021/02/13  19:13:21 & 2021/02/13  19:18:10 &00:09:38&69.45&311.09&126.09\\
 2021/02/14  11:31:37 & 2021/02/14  11:36:20 & 2021/02/14  11:41:04 &00:09:26&34.08&211.82&58.16\\
 2021/02/14  13:06:51 & 2021/02/14  13:11:24 & 2021/02/14  13:15:56 &00:09:04&19.91&261.73&40.32\\
 2021/02/14  17:54:51 & 2021/02/14  17:59:24 & 2021/02/14  18:03:58 &00:09:06&21.42&319.12&100.57\\
 2021/02/14  19:29:47 & 2021/02/14  19:34:24 & 2021/02/14  19:39:02 &00:09:15&29.15&300.37&151.25\\
 2021/02/15  11:52:23 & 2021/02/15  11:57:13 & 2021/02/15  12:02:04 &00:09:40&60.29&236.43&47.99\\
 2021/02/15  18:15:37 & 2021/02/15  18:20:25 & 2021/02/15  18:25:13 &00:09:36&60.44&311.98&123.67\\
