Runtime ,Roll (deg),Pitch (deg),G-Force (g),Magnetometer X-Axis (gauss),Magnetometer Y-Axis (gauss),Magnetometer Z-Axis (gauss),Gyroscope X-Axis (deg/s),Gyroscope Y-Axis (deg/s),Gyroscope Z-Axis (deg/s),Accelerometer X-Axis (g),Accelerometer Y-Axis (g),Accelerometer Z-Axis (g)
2740,-5.18,-23.86,2.12,0.03,-0.19,-0.33,7.02,-3.35,195.24,-0.86,-0.19,1.93,
2820,-5.49,-84.48,1.40,0.02,-0.27,-0.24,-286.72,-1.27,13.59,-1.39,-0.13,-0.01,
2900,10.01,-75.65,0.90,0.02,-0.30,-0.16,-163.32,11.24,5.50,-0.88,0.16,-0.16,
2982,3.61,-80.58,1.07,0.02,-0.29,-0.20,286.68,-23.61,-10.29,-1.06,0.07,-0.16,
3062,-9.39,-78.61,1.20,0.02,-0.23,-0.29,286.68,10.76,-7.93,-1.18,-0.20,0.13,
3143,-10.69,-73.39,0.88,0.02,-0.18,-0.32,-66.61,-6.45,4.87,-0.84,-0.16,0.19,
3223,-6.94,-82.86,1.34,0.02,-0.26,-0.26,-286.72,-6.97,2.33,-1.33,-0.16,0.04,
3303,7.12,-77.79,0.96,0.02,-0.30,-0.17,-256.17,11.23,2.79,-0.94,0.12,-0.16,
3383,5.91,-78.45,0.98,0.02,-0.30,-0.18,282.49,-19.72,-2.64,-0.96,0.10,-0.17,
3463,-8.04,-81.34,1.30,0.02,-0.25,-0.28,286.68,14.60,-2.03,-1.28,-0.18,0.07,
3545,-11.53,-73.02,0.88,0.02,-0.19,-0.33,15.73,1.01,-1.17,-0.84,-0.18,0.19,
3625,-9.11,-79.54,1.23,0.03,-0.25,-0.27,-286.72,-21.57,6.27,-1.21,-0.19,0.11,
3706,4.61,-80.81,1.03,0.02,-0.29,-0.17,-286.72,12.33,9.16,-1.02,0.08,-0.14,
3786,7.79,-78.51,0.94,0.02,-0.30,-0.17,199.80,-10.86,-5.14,-0.92,0.13,-0.14,
3866,-6.11,-83.54,1.35,0.02,-0.26,-0.25,286.68,5.54,-10.37,-1.34,-0.14,0.05,
3946,-9.96,-72.46,0.92,0.03,-0.20,-0.32,104.27,1.44,-3.27,-0.88,-0.16,0.23,
4026,-9.17,-77.73,1.13,0.02,-0.23,-0.29,-286.72,-16.66,12.65,-1.10,-0.18,0.16,
4108,3.95,-82.01,1.13,0.02,-0.29,-0.19,-286.72,17.47,7.67,-1.12,0.08,-0.14,
4188,9.43,-77.09,0.92,0.02,-0.30,-0.17,134.65,-12.57,-5.02,-0.90,0.15,-0.14,
4269,-4.28,-85.69,1.33,0.02,-0.27,-0.24,286.68,-7.03,-2.67,-1.32,-0.10,0.01,
4349,-10.56,-73.93,0.94,0.02,-0.20,-0.30,156.55,8.24,-1.72,-0.90,-0.17,0.19,
4429,-8.94,-77.96,1.08,0.01,-0.22,-0.29,-286.72,-15.77,3.66,-1.05,-0.17,0.15,
4509,0.04,-84.01,1.16,0.02,-0.29,-0.19,-286.72,9.57,1.11,-1.16,0.00,-0.12,
4591,8.85,-77.40,0.91,0.02,-0.29,-0.15,85.30,-8.16,-0.11,-0.89,0.14,-0.14,
4671,-2.80,-86.97,1.30,0.02,-0.27,-0.24,286.68,-1.77,-2.14,-1.30,-0.06,-0.03,
4752,-10.29,-74.58,0.98,0.02,-0.21,-0.31,194.52,11.96,-6.06,-0.95,-0.18,0.19,
4832,-10.12,-75.48,1.04,0.02,-0.22,-0.29,-286.72,-20.01,8.01,-1.00,-0.18,0.19,
4912,-0.23,-86.93,1.20,0.02,-0.29,-0.20,-286.72,7.46,10.31,-1.20,-0.00,-0.06,
4992,9.67,-77.80,0.91,0.02,-0.29,-0.16,29.08,-1.67,-0.40,-0.89,0.15,-0.12,
5072,-1.47,-87.69,1.25,0.01,-0.28,-0.22,286.68,-9.92,-8.60,-1.25,-0.03,-0.04,
5155,-9.45,-75.12,1.00,0.02,-0.21,-0.30,221.76,6.70,-5.14,-0.96,-0.16,0.20,
5235,-8.75,-76.02,1.03,0.02,-0.21,-0.28,-260.50,-13.64,8.78,-1.00,-0.16,0.19,
5315,-0.10,-87.13,1.22,0.02,-0.28,-0.20,-286.72,11.80,4.08,-1.22,-0.00,-0.06,
5395,9.57,-77.61,0.91,0.02,-0.30,-0.16,-1.14,-4.17,-1.20,-0.88,0.15,-0.12,
5475,-0.72,-87.08,1.21,0.02,-0.28,-0.21,286.68,-15.44,-0.84,-1.21,-0.02,-0.06,
5555,-8.61,-76.62,1.04,0.02,-0.22,-0.30,254.76,12.48,-2.68,-1.01,-0.16,0.18,
5638,-8.98,-76.49,1.01,0.01,-0.22,-0.29,-236.29,-13.12,3.19,-0.98,-0.16,0.17,
5718,-1.62,-87.75,1.23,0.02,-0.28,-0.21,-286.72,1.61,2.18,-1.23,-0.03,-0.03,
5798,8.21,-79.06,0.92,0.02,-0.30,-0.15,-18.72,-1.24,2.00,-0.91,0.13,-0.12,
5878,-0.59,-87.71,1.19,0.02,-0.28,-0.21,286.68,-5.16,-4.53,-1.19,-0.01,-0.05,
5958,-9.02,-76.60,1.05,0.02,-0.22,-0.30,261.81,12.36,-7.42,-1.03,-0.17,0.18,
6038,-9.17,-74.40,1.00,0.02,-0.22,-0.30,-199.68,-15.08,7.43,-0.96,-0.16,0.22,
6118,-1.68,-88.24,1.24,0.02,-0.28,-0.22,-286.72,3.12,9.98,-1.24,-0.04,-0.01,
6201,9.30,-78.72,0.92,0.01,-0.30,-0.17,-28.02,1.01,0.31,-0.91,0.15,-0.10,
6281,0.39,-87.85,1.16,0.02,-0.28,-0.22,286.68,-13.43,-6.20,-1.16,0.01,-0.04,
6361,-7.67,-77.25,1.06,0.01,-0.22,-0.29,265.36,6.57,-3.92,-1.04,-0.14,0.19,
6441,-7.97,-76.01,0.98,0.01,-0.21,-0.29,-191.50,-9.46,5.55,-0.95,-0.14,0.19,
6521,-1.99,-87.68,1.25,0.02,-0.28,-0.22,-286.72,5.43,0.90,-1.25,-0.04,-0.03,
6601,8.64,-79.51,0.93,0.01,-0.30,-0.17,-47.78,-1.44,0.17,-0.91,0.14,-0.10,
