Runtime ,Roll (deg),Pitch (deg),G-Force (g),Magnetometer X-Axis (gauss),Magnetometer Y-Axis (gauss),Magnetometer Z-Axis (gauss),Gyroscope X-Axis (deg/s),Gyroscope Y-Axis (deg/s),Gyroscope Z-Axis (deg/s),Accelerometer X-Axis (g),Accelerometer Y-Axis (g),Accelerometer Z-Axis (g)
2761,-3.58,-31.45,2.22,0.01,-0.23,-0.29,8.17,-6.77,196.77,-1.16,-0.14,1.89,
2841,-0.22,-85.32,1.12,0.01,-0.28,-0.18,-286.72,10.89,4.53,-1.12,-0.00,-0.09,
2921,6.36,-79.05,0.92,0.01,-0.29,-0.15,21.81,-4.61,2.13,-0.90,0.10,-0.14,
3001,-1.61,-87.17,1.16,0.01,-0.28,-0.20,286.68,-10.56,-4.65,-1.16,-0.03,-0.05,
3084,-6.99,-79.94,1.13,0.01,-0.22,-0.29,286.68,13.85,-9.11,-1.12,-0.14,0.14,
3164,-7.90,-76.10,0.92,0.02,-0.18,-0.32,-15.99,-3.91,3.20,-0.90,-0.13,0.18,
3244,-6.95,-80.38,1.15,0.01,-0.23,-0.28,-286.72,-17.57,8.11,-1.14,-0.14,0.13,
3324,-0.80,-85.86,1.15,0.01,-0.29,-0.19,-286.72,10.61,-0.47,-1.14,-0.02,-0.08,
3404,6.02,-78.80,0.92,0.01,-0.29,-0.15,-6.41,-0.15,-0.60,-0.90,0.10,-0.15,
3484,-0.66,-85.66,1.12,0.02,-0.29,-0.20,286.68,-15.53,1.88,-1.12,-0.01,-0.08,
3567,-5.88,-81.14,1.16,0.02,-0.22,-0.28,286.68,6.76,-3.47,-1.14,-0.12,0.13,
3647,-6.58,-76.58,0.92,0.02,-0.18,-0.32,8.37,-1.35,-0.94,-0.90,-0.11,0.19,
3727,-6.18,-80.88,1.13,0.01,-0.23,-0.29,-286.72,-11.65,5.36,-1.12,-0.12,0.13,
3807,-1.17,-86.92,1.17,0.02,-0.29,-0.20,-286.72,10.11,1.88,-1.17,-0.02,-0.06,
3887,6.19,-79.59,0.92,0.01,-0.29,-0.16,-22.37,-0.88,2.08,-0.91,0.10,-0.13,
3967,0.12,-87.04,1.11,0.02,-0.29,-0.19,286.68,-13.57,-3.54,-1.11,0.00,-0.06,
4047,-6.18,-80.54,1.18,0.02,-0.24,-0.28,286.68,12.22,-9.77,-1.17,-0.13,0.15,
4130,-7.91,-75.65,0.93,0.01,-0.19,-0.31,27.76,0.31,-0.10,-0.90,-0.13,0.19,
4210,-6.51,-79.82,1.12,0.01,-0.22,-0.28,-286.72,-18.21,10.18,-1.10,-0.13,0.15,
4290,-1.18,-87.59,1.17,0.01,-0.28,-0.20,-286.72,6.27,2.07,-1.17,-0.02,-0.04,
4370,5.65,-80.49,0.93,0.01,-0.29,-0.15,-39.21,0.68,-1.23,-0.91,0.09,-0.12,
4450,-0.14,-86.10,1.09,0.01,-0.29,-0.19,286.68,-13.27,-0.05,-1.08,-0.00,-0.07,
4531,-5.62,-81.86,1.18,0.01,-0.23,-0.28,286.68,6.70,-2.00,-1.17,-0.12,0.12,
4613,-6.32,-76.34,0.94,0.01,-0.19,-0.30,37.09,-1.23,-0.15,-0.91,-0.10,0.20,
4693,-5.83,-80.33,1.10,0.01,-0.22,-0.28,-286.72,-11.93,3.97,-1.09,-0.11,0.15,
4773,-1.50,-87.40,1.18,0.01,-0.28,-0.20,-286.72,9.60,-0.16,-1.18,-0.03,-0.04,
4854,5.77,-80.42,0.93,0.01,-0.29,-0.15,-50.06,2.01,2.26,-0.92,0.09,-0.12,
4934,1.01,-86.44,1.08,0.01,-0.29,-0.19,286.68,-15.15,-0.84,-1.08,0.02,-0.06,
5014,-5.37,-81.22,1.19,0.01,-0.24,-0.27,286.68,9.19,-8.09,-1.18,-0.11,0.14,
5094,-7.26,-75.72,0.94,0.01,-0.19,-0.31,56.98,2.71,-4.48,-0.91,-0.12,0.20,
5177,-6.49,-79.12,1.09,0.02,-0.23,-0.28,-286.72,-16.34,10.32,-1.07,-0.12,0.17,
5257,-1.39,-88.51,1.18,0.01,-0.28,-0.20,-286.72,4.11,4.37,-1.18,-0.03,-0.01,
5337,5.49,-81.46,0.93,0.01,-0.29,-0.15,-52.80,0.71,-0.37,-0.92,0.09,-0.11,
5417,0.25,-86.67,1.07,0.02,-0.29,-0.19,286.68,-10.83,-1.82,-1.07,0.00,-0.06,
5497,-5.49,-81.53,1.20,0.01,-0.24,-0.27,286.68,7.29,-3.62,-1.18,-0.11,0.13,
5577,-6.60,-76.25,0.93,0.01,-0.19,-0.31,61.71,0.41,0.04,-0.91,-0.11,0.19,
5660,-5.71,-79.96,1.09,0.01,-0.22,-0.29,-286.72,-14.11,4.84,-1.08,-0.11,0.16,
5740,-1.41,-88.21,1.18,0.02,-0.28,-0.20,-286.72,6.74,-0.94,-1.18,-0.03,-0.02,
5820,5.59,-80.68,0.93,0.01,-0.30,-0.15,-55.79,2.19,1.05,-0.92,0.09,-0.12,
5900,1.11,-86.40,1.08,0.01,-0.28,-0.18,286.68,-15.06,0.93,-1.08,0.02,-0.06,
5980,-4.84,-81.97,1.19,0.02,-0.24,-0.27,286.68,6.33,-5.02,-1.18,-0.10,0.13,
6060,-7.45,-76.08,0.95,0.02,-0.20,-0.31,61.85,2.78,-2.49,-0.93,-0.12,0.19,
6141,-6.04,-79.04,1.07,0.01,-0.22,-0.29,-286.72,-12.43,8.03,-1.05,-0.11,0.17,
6223,-1.41,-88.53,1.18,0.01,-0.28,-0.21,-286.72,3.82,4.62,-1.18,-0.03,-0.01,
6303,5.34,-82.39,0.94,0.01,-0.29,-0.16,-55.63,0.99,1.31,-0.93,0.09,-0.09,
6383,0.68,-87.25,1.08,0.02,-0.28,-0.19,286.68,-10.68,-3.88,-1.08,0.01,-0.05,
6463,-5.51,-81.55,1.18,0.01,-0.24,-0.27,286.68,8.95,-6.12,-1.17,-0.11,0.13,
6543,-6.93,-75.82,0.95,0.01,-0.19,-0.30,57.88,0.02,0.04,-0.92,-0.11,0.20,
6623,-5.68,-79.82,1.08,0.02,-0.23,-0.29,-286.72,-15.32,6.79,-1.07,-0.11,0.16,
6703,-1.12,-88.80,1.18,0.02,-0.29,-0.21,-286.72,6.30,-0.25,-1.18,-0.02,-0.01,
6786,5.28,-81.37,0.94,0.02,-0.29,-0.15,-48.45,1.55,0.07,-0.93,0.09,-0.11,
6866,1.59,-86.35,1.08,0.02,-0.29,-0.19,286.68,-13.13,1.62,-1.07,0.03,-0.06,
6946,-4.53,-82.18,1.18,0.02,-0.24,-0.27,286.68,2.37,-2.64,-1.17,-0.09,0.13,
7026,-5.78,-76.79,0.96,0.01,-0.20,-0.30,51.26,1.64,-1.86,-0.93,-0.10,0.20,
7106,-6.48,-79.13,1.09,0.02,-0.22,-0.29,-286.72,-10.51,5.27,-1.07,-0.12,0.16,
7186,-1.47,-88.50,1.17,0.01,-0.28,-0.21,-286.72,5.22,3.23,-1.17,-0.03,-0.01,
7268,5.35,-81.48,0.95,0.01,-0.29,-0.16,-39.80,2.09,4.29,-0.94,0.09,-0.11,
7348,0.63,-87.67,1.09,0.02,-0.29,-0.20,286.68,-10.80,-3.69,-1.09,0.01,-0.04,
7428,-5.43,-81.19,1.17,0.01,-0.24,-0.27,286.68,9.59,-7.96,-1.15,-0.11,0.14,
7509,-6.77,-76.59,0.96,0.02,-0.20,-0.30,39.93,-0.07,-0.09,-0.93,-0.11,0.19,
7589,-5.58,-79.90,1.10,0.02,-0.23,-0.28,-286.72,-15.11,8.38,-1.08,-0.11,0.16,
7669,-0.88,-88.94,1.16,0.02,-0.28,-0.20,-286.72,4.68,1.35,-1.16,-0.02,-0.01,
7749,5.18,-81.81,0.95,0.02,-0.30,-0.15,-36.03,0.83,-0.66,-0.94,0.09,-0.10,
7831,0.21,-87.28,1.09,0.01,-0.29,-0.19,286.68,-10.93,1.07,-1.09,0.00,-0.05,
7911,-4.70,-81.82,1.16,0.01,-0.24,-0.27,286.68,4.80,-2.08,-1.15,-0.10,0.14,
7992,-5.39,-77.55,0.96,0.01,-0.20,-0.30,26.23,-0.52,-0.20,-0.94,-0.09,0.19,
8072,-4.99,-80.92,1.11,0.02,-0.23,-0.28,-286.72,-9.67,3.43,-1.09,-0.10,0.15,
8152,-1.30,-87.98,1.15,0.01,-0.28,-0.20,-286.72,7.36,1.51,-1.15,-0.03,-0.03,
8232,5.40,-82.09,0.96,0.02,-0.30,-0.16,-21.05,-0.86,1.74,-0.95,0.09,-0.10,
8312,0.54,-88.33,1.11,0.01,-0.29,-0.19,286.68,-11.02,-2.03,-1.11,0.01,-0.03,
8394,-4.95,-80.91,1.15,0.02,-0.24,-0.27,286.68,9.34,-7.60,-1.14,-0.10,0.15,
8475,-6.73,-76.17,0.96,0.02,-0.21,-0.31,9.20,-1.30,-0.10,-0.93,-0.11,0.20,
8555,-5.43,-80.41,1.11,0.02,-0.23,-0.28,-286.72,-13.54,8.64,-1.10,-0.11,0.15,
8635,-0.11,-89.67,1.13,0.02,-0.29,-0.20,-286.72,4.01,3.06,-1.13,-0.00,-0.01,
8715,5.06,-82.81,0.95,0.02,-0.30,-0.16,-2.17,-1.34,-0.65,-0.95,0.08,-0.08,
8795,-0.32,-88.94,1.11,0.02,-0.29,-0.21,286.68,-8.48,-0.83,-1.11,-0.01,-0.02,
8877,-4.94,-81.09,1.14,0.02,-0.24,-0.27,286.68,6.22,-2.93,-1.12,-0.10,0.15,
8958,-5.57,-76.73,0.97,0.02,-0.20,-0.31,-15.25,-3.54,1.57,-0.95,-0.09,0.20,
9038,-4.41,-81.85,1.13,0.02,-0.24,-0.27,-286.72,-9.58,2.98,-1.12,-0.09,0.13,
9118,0.51,-88.02,1.11,0.02,-0.29,-0.20,-286.72,8.87,-0.03,-1.11,0.01,-0.04,
9198,5.34,-82.34,0.96,0.02,-0.29,-0.17,17.96,-2.90,1.15,-0.95,0.09,-0.09,
9278,-0.21,-88.65,1.13,0.01,-0.28,-0.20,286.68,-9.98,-0.31,-1.13,-0.00,-0.03,
9358,-4.86,-80.31,1.12,0.02,-0.23,-0.28,286.10,8.03,-5.85,-1.10,-0.09,0.16,
9441,-6.13,-76.88,0.96,0.02,-0.21,-0.30,-37.46,-2.66,1.07,-0.94,-0.10,0.19,
9521,-4.72,-82.00,1.15,0.01,-0.25,-0.27,-286.72,-10.22,7.26,-1.14,-0.09,0.13,
9601,0.72,-88.24,1.09,0.01,-0.29,-0.20,-276.21,4.61,3.55,-1.09,0.01,-0.03,
9681,5.04,-83.27,0.94,0.01,-0.29,-0.17,41.76,-3.13,-0.52,-0.94,0.08,-0.07,
9761,-1.05,-88.93,1.15,0.01,-0.28,-0.22,286.68,-5.73,-3.45,-1.15,-0.02,0.00,
9841,-5.42,-80.25,1.09,0.02,-0.24,-0.29,269.41,7.94,-4.71,-1.08,-0.10,0.15,
9921,-5.67,-77.73,0.97,0.01,-0.21,-0.30,-44.13,-5.84,3.00,-0.95,-0.10,0.18,
9999,-3.98,-82.64,1.15,0.02,-0.24,-0.27,-286.72,-9.57,4.20,-1.14,-0.08,0.12,
10079,1.38,-87.82,1.09,0.02,-0.29,-0.19,-266.32,7.95,-0.37,-1.09,0.03,-0.03,
10159,5.02,-82.70,0.96,0.02,-0.30,-0.17,49.64,-4.42,0.20,-0.96,0.08,-0.09,
10239,-0.81,-89.14,1.15,0.01,-0.27,-0.21,286.68,-8.69,1.33,-1.15,-0.02,0.01,
10320,-4.45,-80.31,1.09,0.02,-0.22,-0.28,258.52,6.14,-4.00,-1.08,-0.08,0.16,
10400,-5.44,-77.42,0.98,0.01,-0.20,-0.29,-57.23,-3.05,1.02,-0.96,-0.09,0.19,
10482,-3.99,-83.37,1.16,0.02,-0.25,-0.26,-286.72,-6.98,4.54,-1.15,-0.08,0.11,
10562,1.55,-87.38,1.06,0.01,-0.29,-0.18,-241.03,5.64,3.42,-1.06,0.03,-0.04,
10642,4.51,-84.05,0.97,0.01,-0.29,-0.17,76.47,-5.35,-0.68,-0.97,0.08,-0.07,
10722,-1.63,-87.36,1.16,0.01,-0.27,-0.23,286.68,-3.74,-4.57,-1.16,-0.03,0.04,
10802,-5.41,-79.32,1.07,0.02,-0.23,-0.28,231.97,8.16,-5.76,-1.05,-0.10,0.17,
10882,-5.94,-77.58,0.98,0.02,-0.21,-0.30,-85.50,-7.52,4.44,-0.96,-0.10,0.19,
10962,-3.62,-84.14,1.17,0.01,-0.25,-0.25,-286.72,-8.20,5.11,-1.16,-0.07,0.09,
11045,2.15,-86.65,1.04,0.01,-0.29,-0.18,-217.04,6.28,0.11,-1.04,0.04,-0.05,
11125,4.08,-84.17,0.98,0.02,-0.29,-0.17,105.42,-6.26,-0.34,-0.97,0.07,-0.07,
11205,-1.85,-87.60,1.16,0.02,-0.27,-0.22,286.68,-5.59,0.72,-1.16,-0.04,0.03,
11285,-4.56,-79.78,1.05,0.02,-0.22,-0.28,202.95,4.63,-2.66,-1.03,-0.08,0.17,
11365,-4.84,-78.77,1.00,0.01,-0.21,-0.29,-115.24,-5.87,2.27,-0.98,-0.08,0.17,
11445,-3.09,-84.63,1.18,0.02,-0.26,-0.23,-286.72,-2.93,2.05,-1.17,-0.06,0.09,
11527,2.88,-85.34,1.02,0.01,-0.29,-0.18,-184.41,5.24,1.68,-1.02,0.05,-0.07,
